TIC,CTOI,TEV Disposition,Notes,CTOI Category,TIC ID,TFOPWG Disposition
364400981.0,364400981.01,FP (EB),"All data obtained using the LightKurve framework; has a report made, but I think this is an EB with a slightly eccentric orbit. There is a significant secondary just beyond phase 0.5.",Likely FP,,
10697188.0,10697188.01,FP(EB),"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS",Likely FP,,
10697190.0,10697190.01,FP(EB),"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS",Likely FP,,
28799599.0,28799599.01,FP(EB),"hot Jupiter candidate around evolved star. nearby companion, needs SG1 followup; off target according to difference image",Likely FP,,
37692356.0,37692356.01,FP(EB),"Camera 2. CCD 3, Column 1887, Row 1839, Sector 8, Possible binary system; secondary visible in Y1 QLP; Rp ~ 32 Re; EB",Likely FP,,
46029346.0,46029346.01,FP(EB),Synchronized with stellar variability; large,Likely FP,,
83703886.0,83703886.01,FP(EB),"Camera 1, CCD 4, Column 535, Row 642, Sector 11; QLP report at 2x CTOI period has strong odd-even; likely EB",Likely FP,,
92880493.0,92880493.01,FP(EB),"All data are obtained using the TESS data and LightKurve Framework; FP: significant secondary, V-shaped, and has significant depth-aperture correlation ",Likely FP,,
120861864.0,120861864.01,FP(EB),"Camera 2, CCD 1, Column 1817, Row 239, Sector 10; clear odd-even in QLP report with 2x CTOI period; Rp ~ 83 Re",Likely FP,,
138772345.0,138772345.01,FP(EB),"Camera 1, CCD 2, Column 1193, Row 1317, Sector 22; Rp ~ 69 Re from QLP report with same period and epoch; secondary",Likely FP,,
178414921.0,178414921.01,FP(EB),"Camera 2, CCD 2, Column 2018, Row 1017, Sector 9; v-shaped; Rp ~43.5 Re",Likely FP,,
186941307.0,186941307.01,FP(EB),"Camera 1, CCD 2, Column 1063, Row 964, Sector 18; off target EB; significant depth-aperture correlation",Likely FP,,
202152389.0,202152389.01,FP(EB),"Camera 2, CCD 1, Column 1885, Row 1962, Sector 17, unclear orbital period; Rp ~ 125 Re;",Likely FP,,
224327878.0,224327878.01,FP(EB),34 transits; either full transit or nearly full.,Likely FP,,
234945462.0,234945462.01,FP(EB),"Camera 1, CCD 2, Column 965, Row 1422, Sector 6; period is off in qlp report; eccentric eclipsing binary",Likely FP,,
302926645.0,302926645.01,FP(EB),Found with our in-house single transit finder; off target in SPOC s6,Likely FP,,
311413113.0,311413113.01,FP(EB),"Camera 2, CCD 2, Column 1261, Row 164, Sector 12; off-target EB; significant depth aperture correlation and secondary",Likely FP,,
399868187.0,399868187.02,FP(EB),WINE hot Jupiter; TFOPWG FP; NEB,Likely FP,,
428962300.0,428962300.01,FP(EB),hot Jupiter candidate around evolved star; EB at 2x CTOI period; CTOI is likely secondaries,Likely FP,,
438591493.0,438591493.01,FP(EB),"Camera 2, CCD 4, Column 1178, Row 446, Sector 11; ; secondary visible in Y1 QLP; Rp ~ 29.3 Re; EB",Likely FP,,
438727861.0,438727861.01,FP(EB),"Camera 2, CCD 4, Column 341, Row 1818, Sector 11; eclipsing binary (15 sigma odd-even)",Likely FP,,
444222135.0,444222135.01,FP(EB),Eccentric EB from outside sources,Likely FP,,
450087539.0,450087539.01,FP(EB),"Camera 1, CCD 3, Column 1173, Row 1470, Sector 5; Rp ~ 35.4 Re in Y1 qlp",Likely FP,,
8963901.0,8963901.01,FP(EB),Rp = 300 Re; non-transit signal,Likely FP,,
13093071.0,13093071.01,FP(EB),WINE single transit,Likely FP,,
29667425.0,29667425.01,FP(EB),Single transit; centroid offset but not centered on anything; background light spikes at epoch 1342,Likely FP,,
39018208.0,39018208.02,FP(EB),2000 ppm secondary,Likely FP,,
55659311.0,55659311.01,FP(EB),Rp = 90 Re,Likely FP,,
55659311.0,55659311.02,FP(EB),Rp = 90 Re,Likely FP,,
61710042.0,61710042.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
65450588.0,65450588.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
67747088.0,67747088.01,FP(EB),v-shaped; weak; centroid offset; Found with our in-house single transit finder; additional partial transit; Sector 32,Likely FP,,
72985912.0,72985912.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
91369561.0,91369561.01,FP(EB),Rp = 77 Re,Likely FP,,
92349924.0,92349924.02,FP(EB),Rp = 27 Re; v-shaped,Likely FP,,
92349924.0,92349924.03,FP(EB),Rp = 27 Re; v-shaped,Likely FP,,
92896631.0,92896631.01,FP(EB),Looks good but could be too large; odd-even; recon spectra shows composite; likely SB2,Likely FP,,
100029948.0,100029948.01,FP(EB),Rp = 79 Re; odd-even,Likely FP,,
100029948.0,100029948.02,FP(EB),Rp = 79 Re; odd-even,Likely FP,,
124852105.0,124852105.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
130469151.0,130469151.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
135243705.0,135243705.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
