TIC,CTOI,Period (exfop),Notes
364400981.0,364400981.01,1.94,"All data obtained using the LightKurve framework; has a report made, but I think this is an EB with a slightly eccentric orbit. There is a significant secondary just beyond phase 0.5."
10697188.0,10697188.01,5.44,"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS"
10697190.0,10697190.01,5.44,"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS"
28799599.0,28799599.01,3.577,"hot Jupiter candidate around evolved star. nearby companion, needs SG1 followup; off target according to difference image"
37692356.0,37692356.01,2.7,"Camera 2. CCD 3, Column 1887, Row 1839, Sector 8, Possible binary system; secondary visible in Y1 QLP; Rp ~ 32 Re; EB"
46029346.0,46029346.01,1.381,Synchronized with stellar variability; large
83703886.0,83703886.01,0.58,"Camera 1, CCD 4, Column 535, Row 642, Sector 11; QLP report at 2x CTOI period has strong odd-even; likely EB"
92880493.0,92880493.01,1.04,"All data are obtained using the TESS data and LightKurve Framework; FP: significant secondary, V-shaped, and has significant depth-aperture correlation "
120861864.0,120861864.01,18,"Camera 2, CCD 1, Column 1817, Row 239, Sector 10; clear odd-even in QLP report with 2x CTOI period; Rp ~ 83 Re"
138772345.0,138772345.01,8.57,"Camera 1, CCD 2, Column 1193, Row 1317, Sector 22; Rp ~ 69 Re from QLP report with same period and epoch; secondary"
178414921.0,178414921.01,1.2,"Camera 2, CCD 2, Column 2018, Row 1017, Sector 9; v-shaped; Rp ~43.5 Re"
186941307.0,186941307.01,1.05,"Camera 1, CCD 2, Column 1063, Row 964, Sector 18; off target EB; significant depth-aperture correlation"
202152389.0,202152389.01,8.43,"Camera 2, CCD 1, Column 1885, Row 1962, Sector 17, unclear orbital period; Rp ~ 125 Re;"
224327878.0,224327878.01,0.67,34 transits; either full transit or nearly full.
234945462.0,234945462.01,7.08,"Camera 1, CCD 2, Column 965, Row 1422, Sector 6; period is off in qlp report; eccentric eclipsing binary"
302926645.0,302926645.01,nan,Found with our in-house single transit finder; off target in SPOC s6
311413113.0,311413113.01,18.66,"Camera 2, CCD 2, Column 1261, Row 164, Sector 12; off-target EB; significant depth aperture correlation and secondary"
399868187.0,399868187.02,6.485,WINE hot Jupiter; TFOPWG FP; NEB
428962300.0,428962300.01,2.942,hot Jupiter candidate around evolved star; EB at 2x CTOI period; CTOI is likely secondaries
438591493.0,438591493.01,7.98,"Camera 2, CCD 4, Column 1178, Row 446, Sector 11; ; secondary visible in Y1 QLP; Rp ~ 29.3 Re; EB"
438727861.0,438727861.01,3.46,"Camera 2, CCD 4, Column 341, Row 1818, Sector 11; eclipsing binary (15 sigma odd-even)"
444222135.0,444222135.01,3.038,Eccentric EB from outside sources
450087539.0,450087539.01,1.75,"Camera 1, CCD 3, Column 1173, Row 1470, Sector 5; Rp ~ 35.4 Re in Y1 qlp"
8963901.0,8963901.01,0.485,Rp = 300 Re; non-transit signal
13093071.0,13093071.01,nan,WINE single transit
29667425.0,29667425.01,nan,Single transit; centroid offset but not centered on anything; background light spikes at epoch 1342
39018208.0,39018208.02,6.66,2000 ppm secondary
55659311.0,55659311.01,nan,Rp = 90 Re
55659311.0,55659311.02,nan,Rp = 90 Re
61710042.0,61710042.01,1.888,"new CTOI, Montalto et al. (2020)"
65450588.0,65450588.01,0.649,"new CTOI, Montalto et al. (2020)"
67747088.0,67747088.01,nan,v-shaped; weak; centroid offset; Found with our in-house single transit finder; additional partial transit; Sector 32
72985912.0,72985912.01,1.68,"new CTOI, Montalto et al. (2020)"
91369561.0,91369561.01,0.077,Rp = 77 Re
92349924.0,92349924.02,nan,Rp = 27 Re; v-shaped
92349924.0,92349924.03,nan,Rp = 27 Re; v-shaped
92896631.0,92896631.01,5.639,Looks good but could be too large; odd-even; recon spectra shows composite; likely SB2
100029948.0,100029948.01,2.778,Rp = 79 Re; odd-even
100029948.0,100029948.02,2.775,Rp = 79 Re; odd-even
124852105.0,124852105.01,0.27,"new CTOI, Montalto et al. (2020)"
130469151.0,130469151.01,2.403,"new CTOI, Montalto et al. (2020)"
135243705.0,135243705.01,2.659,"new CTOI, Montalto et al. (2020)"
138941853.0,138941853.01,11.59,"new CTOI, Montalto et al. (2020)"
139825840.0,139825840.01,7.668,Rp = 267 Re
139825840.0,139825840.02,7.701,Rp = 267 Re
141268467.0,141268467.01,4.181,Rp = 164 Re
141268467.0,141268467.02,4.175,Rp = 164 Re
141307678.0,141307678.01,15.891,"new CTOI, Montalto et al. (2020)"
141622065.0,141622065.01,2.952,Rp = 164 Re
141622065.0,141622065.02,3,Rp = 164 Re
141809359.0,141809359.01,12.149,Rp = 179 Re
150429807.0,150429807.01,nan,Rp = 43 Re
150442264.0,150442264.01,1.653,EB
151940400.0,151940400.01,3.558,"new CTOI, Montalto et al. (2020)"
153077619.0,153077619.01,18.083,"new CTOI, Montalto et al. (2020)"
153734545.0,153734545.01,3.22,"radius 77 earth radii; new CTOI likely member of NGC 2527     , PATHOS-14 in Nardiello et al. (2020)"
153735144.0,153735144.01,3.779,"radius 31 earth radii; new CTOI likely member of NGC 2527     , PATHOS-15 in Nardiello et al. (2020)"
158737091.0,158737091.01,0.517,"new CTOI, Montalto et al. (2020)"
178154917.0,178154917.01,nan,WINE single transit
180412528.0,180412528.01,4.588,Eccentric EB
180412528.0,180412528.02,4.589,Eccentric EB
198008002.0,198008002.01,6.56,"new CTOI; off target
"
200321330.0,200321330.01,1.815,"new CTOI, Montalto et al. (2020)"
201256771.0,201256771.01,3.755,Rp = 42 Re
201256771.0,201256771.02,3.767,Rp = 42 Re
204497617.0,204497617.02,3.18,EB
206462116.0,206462116.01,2.974,Rp = 131 Re
206462116.0,206462116.02,2.969,Rp = 131 Re
207080350.0,207080350.02,18.382,EB
214517366.0,214517366.01,nan,Single transit; Rp = 27 Re
219254268.0,219254268.01,6.955,"new CTOI, Montalto et al. (2020)"
220076110.0,220076110.01,4.808,"new CTOI, Montalto et al. (2020); had odd-even in sector 6 but only 4 transits"
220402290.0,220402290.02,0.722,Rp = 52 Re
220474209.0,220474209.02,0.942,EB
220567625.0,220567625.01,19.444,Rp = 68 Re
220567625.0,220567625.02,nan,Rp = 68 Re
224307602.0,224307602.01,0,Centroid offset on another star
231833061.0,231833061.01,nan,EB
231833061.0,231833061.02,nan,EB
231860752.0,231860752.01,0.989,Rp = 43 Re
233961334.0,233961334.01,1.153,"new CTOI, Montalto et al. (2020)"
234347951.0,234347951.01,nan,Rp = 104 Re
234347951.0,234347951.02,nan,Rp = 104 Re
251061007.0,251061007.01,2.621,"new CTOI, Montalto et al. (2020)"
253922296.0,253922296.02,9.426,Synchronized; secondary
259784884.0,259784884.01,nan,First 2 events seem spurious; third is real
260639999.0,260639999.01,22.635,Too faint for QLP; possible single; centroid offset in SPOC
263074592.0,263074592.01,8.376,Rp = 288 Re
263074592.0,263074592.02,8.413,Rp = 288 Re
265469420.0,265469420.01,nan,Rp = 47 Re
265469420.0,265469420.02,nan,Rp = 47 Re
267185423.0,267185423.01,nan,Single transit; too large
267608606.0,267608606.01,0,Multi or EB; investigate further
270450687.0,270450687.02,0,Possibly EB primary transit to .01
273792220.0,273792220.01,1.987,248 sigma odd-even
273792220.0,273792220.02,1.987,248 sigma odd-even
275083922.0,275083922.01,7.404,SPOC centroid offset centered near other star
278683641.0,278683641.01,4.252,Rp = 74 Re
278683641.0,278683641.02,4.26,Rp = 74 Re
278784173.0,278784173.01,1.497,Rp = 35 Re
278988794.0,278988794.01,7.503,Rp = 59 Re
278988794.0,278988794.02,3.808,Rp = 59 Re
278990954.0,278990954.01,0,EB in GV
287328866.0,287328866.01,2.063,Rp =27.5 Re; ruled EB
287328866.0,287328866.02,2.08,Rp =27.5 Re; ruled EB
290049697.0,290049697.01,nan,Single transit; too large to be planet
300903537.0,300903537.03,nan,Primary/secondary
302495337.0,302495337.01,2.25,"new CTOI, Montalto et al. (2020)"
304339227.0,304339227.01,0,Centroid offset
306667367.0,306667367.01,10.049,"new CTOI, Montalto et al. (2020)"
309658221.0,309658221.01,7.587,Rp = 37 Re
309658221.0,309658221.02,7.59,Rp = 37 Re
325469795.0,325469795.01,nan,Rp = 211 Re
325469795.0,325469795.02,nan,Rp = 211 Re
341492896.0,341492896.01,3.732,"new CTOI, Montalto et al. (2020)"
350479101.0,350479101.01,nan,Rp = 54 Re
364302118.0,364302118.01,1.347,Odd-even
364302118.0,364302118.02,1.349,Odd-even
369456296.0,369456296.01,nan,Single transit; Rp = 25 Re; investigate further
370324073.0,370324073.01,nan,Rp = 51 Re
370324073.0,370324073.02,nan,Rp = 51 Re
389927567.0,389927567.01,6.941,"new CTOI likely member of Melotte 101  , PATHOS-24 in Nardiello et al. (2020)"
394230860.0,394230860.01,nan,Rp = 147 Re
394230860.0,394230860.02,nan,Rp = 147 Re
404927661.0,404927661.01,18.535,Rp = 72 Re
404927661.0,404927661.02,nan,Rp = 72 Re
406276109.0,406276109.02,7.556,Secondary
410126347.0,410126347.01,1.413,"new CTOI, Montalto et al. (2020)"
441056702.0,441056702.01,6.342,Single transit; scattered light; centroid offset; background flux spikes around epoch 1371
441422527.0,441422527.01,0.208,Rp = 65 Re
11356662.0,11356662.01,3.249,"new CTOI, Montalto et al. (2020)"
25078924.0,25078924.01,0.91,Primary/secondary
25078924.0,25078924.02,0.9,Primary/secondary
25226885.0,25226885.01,1.631,Primary/secondary
25226885.0,25226885.02,1.63,Primary/secondary
25354620.0,25354620.01,5.023,"new CTOI, Montalto et al. (2020)"
29478974.0,29478974.01,24.903,Primary/secondary
29478974.0,29478974.02,12.458,Primary/secondary
29986808.0,29986808.01,2.134,Primary/secondary
29986808.0,29986808.02,2.123,Primary/secondary
12.84663084,30836645.01,17.283,Found with our in-house single transit finder
31869740.0,31869740.01,4.429,new CTOI; secondary
32150630.0,32150630.01,1.494,Primary/secondary
32150630.0,32150630.02,1.489,Primary/secondary
39018208.0,39018208.01,6.646,nan
41896812.0,41896812.01,1.259,Primary/secondary
41896812.0,41896812.02,1.263,Primary/secondary
46627823.0,46627823.01,6.005,"new CTOI, Montalto et al. (2020)"
50380257.0,50380257.01,1.349,Synchronized; secondary
52079677.0,52079677.01,9.035,Primary/secondary
52079677.0,52079677.02,9.042,Primary/secondary
52449797.0,52449797.01,2.45,"new CTOI, Montalto et al. (2020)"
54256015.0,54256015.01,4.904,newCTOI; large likely EB; 1000 ppm secondary
55404385.0,55404385.01,2.95,Primary/secondary
55404385.0,55404385.02,2.95,Primary/secondary
55497281.0,55497281.01,14.903,Primary/secondary
55524055.0,55524055.01,2.649,Primary/secondary
55524055.0,55524055.02,2.649,Primary/secondary
70442570.0,70442570.01,11.527,Primary/secondary
70442570.0,70442570.02,11.5,Primary/secondary
78740218.0,78740218.01,2.56,nan
91369561.0,91369561.02,3.993,Primary/secondary
91369561.0,91369561.03,3.992,Primary/secondary
92320552.0,92320552.01,1.623,Preliminary Vetting with DAVE
92350408.0,92350408.01,2.956,"new CTOI, Montalto et al. (2020)"
92594505.0,92594505.01,22.869,Too large
99086567.0,99086567.01,11.85,newCTOI
102169275.0,102169275.01,6.55,"new CTOI, Montalto et al. (2020)"
115115136.0,115115136.01,3.971,nan
115115136.0,115115136.02,4,nan
115410334.0,115410334.01,13.424,Centroid offset + depth-aperture correlation
118084297.0,118084297.01,15.803,newCTOI; Y1 and s36 SPOC shows eccentric EB
118084297.0,118084297.01,15.803,newCTOI
121420805.0,121420805.01,1.72,Primary/secondary
121420805.0,121420805.02,1.72,Primary/secondary
