TIC,CTOI,Transit Epoch,Period (exofop),Period (TEV),Planet Radius,Duration,Depth,TFOPWG Disposition,TEV Disposition,Notes,CTOI Category
46627823.0,46627823.01,2458464.509,,,21.82,0.237,17.436,FP,,"new CTOI, Montalto et al. (2020)",
125192758.0,125192758.01,2458492.689,,,29.247,2.686,35.612,FP,,"Giant PC in M50, 100Myr star; rot variable. Parallax a tad low, but within CG18's M50 members.  (CDIPS; Bouma+19)",
349118653.0,349118653.01,2458492.439,,,44.772,2.851,22.971,FP,,"Cand VHJ in NGC2421 (CG18). Either stellar EB, or contracting planet / BD. Worth checking. (CDIPS; Bouma+19)",
399868187.0,399868187.02,2458444.08,,,,,10.583,FP,,WINE hot Jupiter,
120311283.0,120311283.01,,,9.2709,,,,,EB,CTOI epoch = 1701.6138 TBJD matches to TEV signal,
123496379.0,123496379.01,,,34.6573,,,,,EB,CTOI epoch = 1699.4466 TBJD matches to TEV signal,
190885165.0,190885165.01,,1.649,1.649165088,,,,,EB,synchronized,
230130556.0,230130556.01,,-,22.2584,,,,,EB,too large to be inflated hot jupiter; CTOI epoch = 2645.14 TBJD matches to TEV signal,
246966307.0,246966307.01,,6.629,6.63643258,,,,,EB,NEB; centroid offset on TIC 246966304,
257395093.0,257395093.01,,14.4,14.41921845,,,,,EB,EB in quadruple star system,
333785427.0,333785427.01,,1.579,1.57934,,,,,EB,synchronized; likely EB,
356632361.0,356632361.01,,2.611,2.61149,,,,,EB,in spoc-s49-b02 noted to be synchronized with a secondary,
358487062.0,358487062.01,,5.502,5.5051606,,,,,EB,source is TIC 358487041,
434133200.0,434133200.01,,14.131,14.1421506,,,,,EB,half phase coverage with spoc-s42-s46 so period can't be half; too large for insolation,
461634737.0,461634737.01,,4.23,4.229605319,,,,,EB,NEB; Clear centroid offset on TIC 41634738 in spoc-s14s16-b02,
95839645.0,95839645.01,,0.896,0.89625,,,,,EB,"new CTOI, Montalto et al. (2020); 7/8 sigma odd-even in TEC plots for SPOC s61",
