TIC,CTOI,Period (exofop),Period (TEV),Notes
17361.0,17361.01,3.607,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
160363.0,160363.01,nan,nan,Found with our in-house single transit finder
1042868.0,1042868.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'; close to MD
1449756.0,1449756.01,23.299,11.354,"No report on TEV; new CTOI, Montalto et al. (2020)"
1461133.0,1461133.01,nan,nan,Found with our in-house single transit finder
1525480.0,1525480.01,5.51,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
3181884.0,3181884.01,nan,nan,Found with our in-house single transit finder
3892209.0,3892209.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
4299199.0,4299199.01,nan,nan,Found with our in-house single transit finder; Sector 20
4672985.0,4672985.01,nan,nan,WINE single transit
4689632.0,4689632.01,nan,nan,Found with our in-house single transit finder
6426639.0,6426639.01,1.58,nan,All data ontained using the LightKurve framework
6515171.0,6515171.01,5.48,nan,All Data obtained using the Light Kurve framework
6517467.0,6517467.01,1.33,nan,All data obtained using the Light Kurve Framework
7145074.0,7145074.01,nan,nan,WINE single transit
7422496.0,7422496.01,0,nan,No report
7548817.0,7548817.01,4.521,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
7984988.0,7984988.01,nan,nan,No TEV report; Found with our in-house single transit finder
9376051.0,9376051.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
9443323.0,9443323.01,4.013,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
10747470.0,10747470.01,1.977,nan,No report
11521555.0,11521555.01,5.867,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
11755687.0,11755687.01,3.052,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
12011437.0,12011437.01,2.433,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
12090836.0,12090836.01,3.197,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
12631674.0,12631674.01,nan,nan,Found with our in-house single transit finder; Sector 31
13072758.0,13072758.01,nan,nan,WINE single transit
13344668.0,13344668.01,nan,nan,WINE single transit
14173089.0,14173089.01,4.076,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
16326602.0,16326602.01,nan,nan,No TEV report; Found with our in-house single transit finder
19026420.0,19026420.01,nan,nan,No TEV report; Found with our in-house single transit finder
20299658.0,20299658.01,31.989,nan,WINE warm jupiter candidate
20579360.0,20579360.01,8.357,nan,WINE warm/hot jupiter candidate
21279791.0,21279791.01,3.018,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
22317640.0,22317640.01,nan,nan,WINE single transit
22642772.0,22642772.01,nan,nan,Found with our in-house single transit finder
24251313.0,24251313.01,0.64,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
25314899.0,25314899.01,3.367,nan,No report
25758307.0,25758307.01,0.903,nan,No report
25879023.0,25879023.01,2.049,nan,No report on TEV
26264354.0,26264354.01,0.29,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
26474800.0,26474800.01,0.806,nan,No report on TEV
26493474.0,26493474.01,1.56,nan,Data are obtained using the LightKurve framework
26748546.0,26748546.01,5.902,nan,No report on TEV
27318774.0,27318774.01,3.245,nan,No report on TEV
27354439.0,27354439.01,0.486,nan,No report
27414976.0,27414976.01,3.976,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
27515765.0,27515765.01,0.86,nan,All data are obtained using the LightKurve framework
27774415.0,27774415.01,4.941,nan,No report on TEV
27847307.0,27847307.01,2.498,nan,No report on TEV
27896467.0,27896467.01,8.25,nan,Possible two bodies in orbit around the main star as seen in the light curve
27990610.0,27990610.01,2.815,nan,No report on TEV
29169215.0,29169215.01,nan,nan,No report on TEV; Planet Hunters TESS candidate. Single transit event.
29953537.0,29953537.01,0.731,nan,Corrected transit depth of 160.92 (+/-12.21) ppm; USP candidate; possibly two stars in same pixel
29989691.0,29989691.01,7.195,nan,Corrected transit depth of 214.7 (+/-7.6) ppm; Marginal PC; within southern Continuous Viewing Zone
30654608.0,30654608.01,2.496,nan,"No report on TEV; new CTOI likely member of Muzzio 1     , PATHOS-02 in Nardiello et al. (2020)"
32451836.0,32451836.01,nan,nan,"No TEV report; Camera 2, CCD 3, Column 2023, Row 1622, Sector 3"
32677675.0,32677675.01,3.637,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
34798133.0,34798133.01,4.62,nan,All data obtained using LightKurve framework
35022727.0,35022727.01,3.652,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
35636165.0,35636165.01,3.459,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
36595388.0,36595388.01,1.738,nan,No report on TEV
37167097.0,37167097.01,1.98,nan,All info obtained using the LightKurve framework
37497171.0,37497171.01,0.636,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
37862966.0,37862966.01,3.584,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
38399060.0,38399060.01,3.652,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
39291805.0,39291805.01,7.172,nan,"new CTOI likely member of NGC 2112     , PATHOS-03 in Nardiello et al. (2020)"
39724477.0,39724477.01,4.035,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
42524156.0,42524156.01,10.013,nan,"new CTOI likely member of ASCC 88      , PATHOS-04 in Nardiello et al. (2020)"
43475220.0,43475220.01,18.52,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
43785616.0,43785616.01,nan,nan,Found with our in-house finder; Sector 32
45357107.0,45357107.01,2.177,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
45896295.0,45896295.01,3.005,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
47625466.0,47625466.01,8.26,nan,"Possible two planets, as the light curve shows two different kind of depths"
48882295.0,48882295.01,nan,nan,Found with our in-house single transit finder
49043968.0,49043968.01,12.492,nan,WINE warm jupiter candidate
49045066.0,49045066.01,3.007,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
50580647.0,50580647.01,4.91,nan,All info obtained using the LightKurve framework
51238317.0,51238317.01,14.261,nan,Found with our in-house single transit finder; Sector 20
52059926.0,52059926.01,nan,nan,WINE single transit
52745699.0,52745699.01,3.166,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
53309262.0,53309262.01,0,nan,No report on TEV
53461742.0,53461742.01,4.412,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
53843023.0,53843023.01,0,nan,No report
55441086.0,55441086.01,4.16,nan,All data obtained using the lightkurve framework
55446876.0,55446876.01,5.59,nan,All data obtained using the lightkurve framework
55849732.0,55849732.01,5.371,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
56096837.0,56096837.01,4.664,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
56099207.0,56099207.01,nan,nan,Found with our in-house single transit finder; Sector 32
59942318.0,59942318.01,nan,nan,Found with our in-house single transit finder
60111182.0,60111182.01,0.37,nan,All data obtained with the LightKurve framework
62618413.0,62618413.01,7.02,nan,All data obtained using the LightKurve framework
62632191.0,62632191.01,nan,nan,No TEV report; Found with our in-house single transit finder
63452790.0,63452790.01,2.686,nan,No report on TEV
63889661.0,63889661.01,2.971,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
66296167.0,66296167.01,3.412,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
67599025.0,67599025.01,nan,nan,"WINE single transit, another transit in S30"
67600790.0,67600790.01,0.961,nan,No report on TEV
67651371.0,67651371.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
69745398.0,69745398.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
70524163.0,70524163.01,4.348,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
70722784.0,70722784.01,14.454,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
71295401.0,71295401.01,6.22,nan,Possible two planets as per light curve
74274839.0,74274839.01,4.695,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
74712191.0,74712191.01,7.231,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
76140400.0,76140400.01,0,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
77287067.0,77287067.01,4.076,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
77370025.0,77370025.01,12.338,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
77437543.0,77437543.01,nan,nan,WINE single transit
77560191.0,77560191.01,nan,nan,No TEV report; Found with our in-house single transit finder
78012416.0,78012416.01,14.649,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
78441371.0,78441371.01,3.998,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
80317933.0,80317933.01,3.21,nan,"new CTOI likely member of Collinder 292, PATHOS-05 in Nardiello et al. (2020)"
81353413.0,81353413.01,2.087,nan,"new CTOI likely member of Velorum association, PATHOS-35 in Nardiello (2020)"
82011246.0,82011246.01,3.51,nan,All data are obtained using the LIghtKurve framework
83154030.0,83154030.01,11.719,nan,WINE warm jupiter candidate
85429139.0,85429139.01,4.743,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
85504049.0,85504049.01,3.25,nan,"No TEV report; Camera 2, CCD 2, Column 551, Rwo 594, Sector 19"
87884695.0,87884695.01,1.19,nan,Possible W Ursae Majoris type variables (EW) with secondary companion that gets occultated and occults in a strict orbit
88385463.0,88385463.01,3.123,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
89288586.0,89288586.01,nan,nan,Found with our in-house single transit finder
89330719.0,89330719.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
91987487.0,91987487.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'; W Shaped
92835691.0,92835691.01,22.366,nan,"new CTOI likely member of SAI 91       , PATHOS-07 in Nardiello et al. (2020)"
92866460.0,92866460.01,19.16,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
94423678.0,94423678.01,1.422,nan,No report on TEV
94589619.0,94589619.01,12.083,nan,"new CTOI likely member of NGC 2437     , PATHOS-08 in Nardiello et al. (2020)"
95003423.0,95003423.01,1.527,nan,"new CTOI likely member of Lupus association  , PATHOS-37 in Nardiello (2020)"
95589845.0,95589845.01,3.566,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
95768667.0,95768667.01,0,nan,No report
95857505.0,95857505.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
96157127.0,96157127.01,0.99,nan,All data obtained with the LightKurve framework
97975207.0,97975207.01,4.19,nan,All data are obtained using the Ligh Kurve framework
