TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
120311283,120311283.01,,,9.2709,11.7694,Y,Y,Y,Y,EB,N,CTOI epoch = 1701.6138 TBJD matches to TEV signal,secondary; RV error 6.95 km/s,dragomir,spoc
123496379,123496379.01,,,34.6573,11.4767,Y,Y,Y,Y,EB,N,CTOI epoch = 1699.4466 TBJD matches to TEV signal,200 ppm secondary; RV error 17.6 km/s,dragomir,spoc
190885165,190885165.01,,1.649,1.649165088,13.2957,Y,Y,Y,Y,EB,N,synchronized,Variability phased with transits; spin and orbit sychronized with transits; small star does not irradiate enough to inflate a hot Jupiter; likely EB rather than large PC,rowland,spoc
230130556,230130556.01,,-,22.2584,10.8972,Y,Y,Y,Y,EB,N,too large to be inflated hot jupiter; CTOI epoch = 2645.14 TBJD matches to TEV signal,Too large; not possible as an inflated HJ,vogl,qlp
246966307,246966307.01,,6.629,6.63643258,9.9869,Y,Y,Y,Y,EB,N,NEB; centroid offset on TIC 246966304,,spencer,spoc
257395093,257395093.01,,14.4,14.41921845,12.2857,Y,Y,Y,Y,EB,N,EB in quadruple star system,14.41 day EB in quadruple star system (Rappaport et. al 2017),gsun,spoc
333785427,333785427.01,,1.579,1.57934,10.0801,Y,Y,Y,Y,EB,N,synchronized; likely EB,250 ppm secondary; synchronized,gsun,qlp
356632361,356632361.01,,2.611,2.61149,10.4776,Y,Y,Y,Y,EB,N,in spoc-s49-b02 noted to be synchronized with a secondary,Synchronization drifts; secondary consistent with a planet; v-shaped,rowland,spoc
358487062,358487062.01,,5.502,5.5051606,8.1246,Y,Y,Y,Y,EB,N,source is TIC 358487041,,spencer,qlp
434133200,434133200.01,,14.131,14.1421506,11.8415,Y,Y,Y,Y,EB,N,half phase coverage with spoc-s42-s46 so period can't be half; too large for insolation,,vogl,spoc
461634737,461634737.01,,4.23,4.229605319,10.7062,Y,Y,Y,Y,EB,N,NEB; Clear centroid offset on TIC 41634738 in spoc-s14s16-b02,Clear centroid offset on TIC 41634738 in spoc-s14s16-b02; CTOI from Alton Spencer; two stars nearby; also found in faint-star QLP search,spencer,spoc
95839645,95839645.01,,0.896,0.89625,11.5784,Y,Y,,,EB,N,"new CTOI, Montalto et al. (2020); 7/8 sigma odd-even in TEC plots for SPOC s61",,montalto,qlp
364400981,364400981.01,,1.94,,12.6857,N,N,,,FP (EB),N,"All data obtained using the LightKurve framework; has a report made, but I think this is an EB with a slightly eccentric orbit. There is a significant secondary just beyond phase 0.5.",,chiarello,
10697188,10697188.01,,5.44,,9.38696,N,N,,N,FP(EB),N,"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS",qlp s18 report Rp ~ 47 Re; EB,chiarello,qlp
10697190,10697190.01,,5.44,,8.72959,N,N,,,FP(EB),N,"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS",qlp s18 report Rp ~ 43 Re; EB,chiarello,qlp
28799599,28799599.01,,3.577,,10.9353,N,N,Y,N,FP(EB),N,"hot Jupiter candidate around evolved star. nearby companion, needs SG1 followup; off target according to difference image",,grunblatt,qlp
37692356,37692356.01,,2.7,,11.151,N,N,Y,N,FP(EB),N,"Camera 2. CCD 3, Column 1887, Row 1839, Sector 8, Possible binary system; secondary visible in Y1 QLP; Rp ~ 32 Re; EB",,chiarello,qlp
46029346,46029346.01,,1.381,,11.7803,N,N,,,FP(EB),N,Synchronized with stellar variability; large,,bouma,
83703886,83703886.01,,0.58,,11.8455,N,N,Y,N,FP(EB),N,"Camera 1, CCD 4, Column 535, Row 642, Sector 11; QLP report at 2x CTOI period has strong odd-even; likely EB",,chiarello,qlp
92880493,92880493.01,,1.04,,12.043,N,N,,,FP(EB),N,"All data are obtained using the TESS data and LightKurve Framework; FP: significant secondary, V-shaped, and has significant depth-aperture correlation ",,chiarello,
120861864,120861864.01,,18,,10.4204,N,N,Y,N,FP(EB),N,"Camera 2, CCD 1, Column 1817, Row 239, Sector 10; clear odd-even in QLP report with 2x CTOI period; Rp ~ 83 Re",,chiarello,qlp
138772345,138772345.01,,8.57,,9.91913,N,N,Y,N,FP(EB),N,"Camera 1, CCD 2, Column 1193, Row 1317, Sector 22; Rp ~ 69 Re from QLP report with same period and epoch; secondary",,chiarello,qlp
