TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
17361,17361.01,3127.01,3.607,,11.342,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",found in faint-star QLP search; CTOI from Montalto et al. 2020,montalto,qlp
160363,160363.01,,,,11.1398,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
1042868,1042868.01,,,,5.8706,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'; close to MD,,steuer,
1449756,1449756.01,2480.01,23.299,11.354,10.8256,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
1461133,1461133.01,,,,15.4872,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
1525480,1525480.01,2402.01,5.51,,12.2668,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",CTOI from Marco Montalto,montalto,qlp
3181884,3181884.01,,,,16.83,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
3892209,3892209.01,,,,11.442,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files',,steuer,
4299199,4299199.01,,,,9.66502,N,N,,,-,-,Found with our in-house single transit finder; Sector 20,,steuer,
4672985,4672985.01,,,,10.9918,N,N,,,-,-,WINE single transit,,brahm,
4689632,4689632.01,,,,17.0816,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
6426639,6426639.01,,1.58,,11.4788,N,N,,,-,-,All data ontained using the LightKurve framework,,chiarello,
6515171,6515171.01,,5.48,,11.1481,N,N,,,-,-,All Data obtained using the Light Kurve framework,,chiarello,
6517467,6517467.01,,1.33,,11.5345,N,N,,,-,-,All data obtained using the Light Kurve Framework,,chiarello,
7145074,7145074.01,,,,11.1407,N,N,,,-,-,WINE single transit,,brahm,
7422496,7422496.01,4189.01,0,,8.7601,N,N,,,-,-,No report,,eisner,
7548817,7548817.01,2583.01,4.521,,12.0453,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
7984988,7984988.01,,,,11.9218,N,N,N,-,-,-,No TEV report; Found with our in-house single transit finder,,steuer,
9376051,9376051.01,,,,9.97062,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files',,steuer,
9443323,9443323.01,,4.013,,12.1957,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
10747470,10747470.01,,1.977,,9.72577,N,N,,,-,-,No report,,damboiu,
11521555,11521555.01,2401.01,5.867,,9.0982,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,palumbo,
11755687,11755687.01,,3.052,,12.4821,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
12011437,12011437.01,,2.433,,12.038,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,deen,
12090836,12090836.01,,3.197,,12.4733,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
12631674,12631674.01,,,,11.1754,N,N,,,-,-,Found with our in-house single transit finder; Sector 31,,steuer,
13072758,13072758.01,,,,12.224,N,N,,,-,-,WINE single transit,,brahm,
13344668,13344668.01,,,,12.673,N,N,,,-,-,WINE single transit,,brahm,
14173089,14173089.01,,4.076,,13.988,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
16326602,16326602.01,,,,12.8855,N,N,N,-,-,-,No TEV report; Found with our in-house single transit finder,,steuer,
19026420,19026420.01,,,,10.6742,N,N,N,-,-,-,No TEV report; Found with our in-house single transit finder,,steuer,
20299658,20299658.01,2536.01,31.989,,12.7022,N,N,,,-,-,WINE warm jupiter candidate,,brahm,
20579360,20579360.01,2532.01,8.357,,12.646,N,N,,,-,-,WINE warm/hot jupiter candidate,,brahm,
21279791,21279791.01,2582.01,3.018,,12.4848,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
22317640,22317640.01,,,,11.2693,N,N,,,-,-,WINE single transit,,brahm,
22642772,22642772.01,,,,9.4913,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
24251313,24251313.01,,0.64,,11.8183,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
25314899,25314899.01,,3.367,,10.8452,N,N,,,-,-,No report,,damboiu,
25758307,25758307.01,,0.903,,10.9677,N,N,,,-,-,No report,,damboiu,
25879023,25879023.01,,2.049,,13.9819,N,N,,,-,-,No report on TEV,,bouma,
26264354,26264354.01,,0.29,,10.7846,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
26474800,26474800.01,,0.806,,13.5547,N,N,,,-,-,No report on TEV,Kepler candidate planet KOI-8078.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
26493474,26493474.01,,1.56,,10.1558,N,N,,,-,-,Data are obtained using the LightKurve framework,,chiarello,
26748546,26748546.01,,5.902,,14.6806,N,N,,,-,-,No report on TEV,Kepler candidate planet KOI-6085.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
27318774,27318774.01,4471.01,3.245,,14.4394,N,N,,,-,-,No report on TEV,Kepler confirmed planet KOI-186.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
27354439,27354439.01,,0.486,,12.4969,N,N,,,-,-,No report,,damboiu,
27414976,27414976.01,,3.976,,13.7846,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
27515765,27515765.01,,0.86,,12.7125,N,N,,,-,-,All data are obtained using the LightKurve framework,,chiarello,
27774415,27774415.01,4456.01,4.941,,13.2394,N,N,,,-,-,No report on TEV,Kepler confirmed planet KOI-128.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
27847307,27847307.01,,2.498,,13.6764,N,N,,,-,-,No report on TEV,Kepler confirmed planet KOI-1416.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
27896467,27896467.01,,8.25,,9.25218,N,N,,,-,-,Possible two bodies in orbit around the main star as seen in the light curve,,chiarello,
27990610,27990610.01,4482.01,2.815,,14.4889,N,N,,,-,-,No report on TEV,Kepler confirmed planet KOI-767.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
29169215,29169215.01,5584.01,,,10.7314,N,N,,,-,-,No report on TEV; Planet Hunters TESS candidate. Single transit event.,,eisner,
29953537,29953537.01,,0.731,,10.2097,N,N,,,-,-,Corrected transit depth of 160.92 (+/-12.21) ppm; USP candidate; possibly two stars in same pixel,,spencer,
29989691,29989691.01,,7.195,,9.837,N,N,,,-,-,Corrected transit depth of 214.7 (+/-7.6) ppm; Marginal PC; within southern Continuous Viewing Zone,,spencer,
30654608,30654608.01,,2.496,,10.5145,N,N,,,-,-,"No report on TEV; new CTOI likely member of Muzzio 1     , PATHOS-02 in Nardiello et al. (2020)",,nardiello,
32451836,32451836.01,,,,9.6535,N,N,N,-,-,-,"No TEV report; Camera 2, CCD 3, Column 2023, Row 1622, Sector 3",,chiarello,
