TIC ID,CTOI,Promoted to TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,Initial Community Disposition,TFOPWG Disposition,TESS mag,TESS mag error,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Notes,Date Modified,User,Group,Tag
17361,17361.01,3127.01,,,,,,,,PC,,11.342,0.006,219.336233,-24.958522,-18.45,0.054,-9.49,0.05,2458596.96,0.001,3.607,0,0.089,0.003,10.951,,10036,,13.46,2.27,308.901,3.0255,5775.3,121.637,4.25352,0.0784445,1.25819,0.0622261,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29419
160363,160363.01,,,,,,,,,PC,,11.1398,0.008,223.743901,-29.543332,22.487,0.07,-6.861,0.056,2458604.904,0.008,,,3.144,2.557,3.179,0.037,2923.33,33.86,8.14,0.047,450.111,7.561,6737,129.081,4.1546,0.0936922,1.66309,0.0759799,Found with our in-house single transit finder,2021-02-11,steuer,,94179
592503,592503.01,,,,,,,,,PC,,8.8498,0.007,71.735264,-29.290635,7.829,0.033,4.759,0.042,2458439.747,0.007,1.784,0.001,0.082,0.015,0.513,,472,,15.469,1.159,233.777,1.1035,5420.7,70,,,3.23242,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420769
769986,769986.01,,,,,,,,,PC,,14.483,0.007,74.909591,-25.307947,-1.8,0.048,-23.914,0.061,2458437.747,0.002,4.688,0.001,0.067,0,9.127,,8371,,10.029,1.537,524.873,9.2145,4075,122,4.20725,,1.04351,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421495
991806,991806.01,,,,,,,,,PC,,9.7819,0.007,165.596853,-5.050433,6.369,0.089,-31.31,0.056,2458539.301,0.014,4.557,0.004,0.189,0.017,0.425,,391,,6.968,1.859,349.039,6.5225,5035.73,17.48,,,3.63923,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420793
1042868,1042868.01,,,,,,,,,PC,,5.8706,0.006,154.116687,28.682071,-65.692,0.087,-95.513,0.068,2458891.665,,,,21.792,,0.282,,260,,2.71,,33.2673,0.0459,5838,97.6081,4.08561,0.067918,1.53753,0.0606935,Found with our in-house single transit finder; transit finder output attached under 'Files'; close to MD,2020-11-02,steuer,,36603
1166553,1166553.01,,,,,,,,,PC,,14.0931,0.007,70.909056,-35.978593,32.654,0.045,-16.891,0.071,2458412.406,0.007,1.369,0,0.07,0.01,5.209,,4786,,7.903,0.553,251.993,1.931,3654,157,4.62151,0.0117996,0.635504,0.019172,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421487
1449756,1449756.01,2480.01,,,,,,,,PC,,10.8256,0.006,75.174905,-34.815988,6.288,0.035,-21.633,0.045,2458414.854,0.008,23.299,,0.266,0.031,2.275,,2093,,12.17,23.22,470.356,5.0525,6421,133.96,3.98115,0.0893677,1.922,0.0878517,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29333
1461133,1461133.01,,,,,,,,,PC,,15.4872,0.08,246.100971,-51.001197,-5.308,0.329,-3.325,0.196,2459220.143,0.017,,,4.6,3.98,1.384,0.002,1274.03,1.95,9.05,0.01,4471.42,2085.43,3052,122,,,,,Found with our in-house single transit finder,2021-02-15,steuer,,94383
1525480,1525480.01,2402.01,,,,,,,,PC,,12.2668,0.007,156.527712,-17.262814,-19.542,0.066,-37.036,0.068,2458543.36,0.002,5.51,0.001,0.136,0.008,8.693,,7975,,8.75,1.59,345.003,7.1805,5519,127.048,4.45477,0.0830699,0.966127,0.0533869,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29401
1599403,1599403.01,,,,,,,,,PC,,11.6591,0.007,131.111631,-2.473592,-5.673,0.082,-7.424,0.047,2458473.641,,1.263,,,,1.956,,1800,,,,452.827,8.9115,6507.56,137.957,4.35827,0.092847,1.26423,0.0639196,DTARPS 005 in Melton+  arXiv:2302.06724,2023-03-01,feigelson,,426909
2236662,2236662.01,,,,,,,,,PC,,12.6766,0.007,79.637965,34.065528,18.594,0.124,-55.715,0.083,2458825.233,0.002,,,8.25,0.21,32.623,1.38,29600,1270,7.8,0.2,67.1395,0.3744,3427,157,4.81006,0.00451601,0.41819,0.0124853,Single transit hosted by a very active M dwarf,2022-12-05,peretto,,422757
