TIC,CTOI,Period (exofop),Period (TEV),Transit Epoch (BJD),Notes
289947860.0,289947860.01,,,,
277712294.0,277712294.01,,,2458521.27,DTARPS 302 in Melton+  arXiv:2302.06724
12631674.0,12631674.01,,,,Found with our in-house single transit finder; Sector 31
308538095.0,308538095.01,,,2458502.143,"Cand WJ, NGC 2516 member (CG18). DR2 RV tension w/ Soubiran+19 RV, at low significance (need RVs). (CDIPS; Bouma+19)"
318753114.0,318753114.01,,,,Found with our in-house single transit finder; Sector 31
56099207.0,56099207.01,,,2459191.092,Found with our in-house single transit finder; Sector 32
53018991.0,53018991.01,,,2458814.833,"new CTOI, Montalto (2022)"
117644481.0,117644481.01,0.251,0.2506,,"new CTOI, Montalto et al. (2020)"
167653919.0,167653919.01,,,2459260.792,Found with our in-house single transit finder
356868485.0,356868485.01,,,,
224322722.0,224322722.01,,,2458975.438,"new CTOI, Montalto (2022)"
154664949.0,154664949.01,,,2458983.187,"new CTOI, Montalto (2022)"
13875852.0,13875852.01,,,,
118389230.0,118389230.01,,,2458787.146,"new CTOI, Montalto (2022)"
229950972.0,229950972.01,,,2458935.291,single transit event from the TSTPC working group
290777444.0,290777444.01,,,2458320.446,"new CTOI, Montalto et al. (2020)"
86184105.0,86184105.01,,,2458842.102,"new CTOI, Montalto (2022)"
148624719.0,148624719.01,,,2458868.611,"new CTOI, Montalto (2022)"
408094816.0,408094816.01,,,2458743.981,"new CTOI likely member of NGC 7142, PATHOS-72 in Nardiello et al. (2021)"
39291805.0,39291805.01,7.172,,,"new CTOI likely member of NGC 2112     , PATHOS-03 in Nardiello et al. (2020)"
420888232.0,420888232.01,,,2458683.349,"new CTOI, Montalto (2022)"
248959076.0,248959076.01,,,2458388.725,Found with our in-house single transit finder
455238504.0,455238504.01,,,2458505.45,WINE single transit
219778735.0,219778735.01,,,,
16317477.0,16317477.01,,,2458686.239,"Qual:B,NotCM?,2.8e+07yr. Wrn: mean(R)=1.130. Rp=(0.75-2.96)Rj. b=0.06-1.02 (3-97HDI)."
192687318.0,192687318.01,,,,
