TIC,CTOI,Period (days),Transit Epoch (BJD),Notes
160363,160363.01,nan,2458604.904,Found with our in-house single transit finder
592503,592503.01,1.784,2458439.747,"new CTOI, Montalto (2022)"
769986,769986.01,4.688,2458437.747,"new CTOI, Montalto (2022)"
991806,991806.01,4.557,2458539.301,"new CTOI, Montalto (2022)"
1042868,1042868.01,nan,2458891.665,Found with our in-house single transit finder; transit finder output attached under 'Files'; close to MD
1166553,1166553.01,1.369,2458412.406,"new CTOI, Montalto (2022)"
1461133,1461133.01,nan,2459220.143,Found with our in-house single transit finder
1599403,1599403.01,1.263,2458473.641,DTARPS 005 in Melton+  arXiv:2302.06724
2236662,2236662.01,nan,2458825.233,Single transit hosted by a very active M dwarf
2339182,2339182.01,1.11,2458815.857,"new CTOI, Montalto (2022)"
3027456,3027456.01,4.491,2458812.389,"new CTOI, Montalto (2022)"
3181884,3181884.01,nan,2459212.644,Found with our in-house single transit finder
3892209,3892209.01,nan,2459123.041,Found with our in-house single transit finder; transit finder output attached under 'Files'
3900859,3900859.01,0.386,2458899.012,"new CTOI, Montalto (2022)"
4292952,4292952.01,2.542,2458470.808,DTARPS 006 in Melton+  arXiv:2302.06724
4299199,4299199.01,nan,2458850.05,Found with our in-house single transit finder; Sector 20
4426490,4426490.01,2.668,2458841.997,"new CTOI, Montalto (2022)"
4638099,4638099.01,2.208,2458491.766,DTARPS 007 in Melton+  arXiv:2302.06724
4672985,4672985.01,nan,2458429.857,WINE single transit
4689632,4689632.01,nan,2459207.149,Found with our in-house single transit finder
4956529,4956529.01,2.184,2458869.019,"new CTOI, Montalto (2022)"
5043138,5043138.01,1.09,2458898.97,"new CTOI, Montalto (2022)"
5079059,5079059.01,1.09,2458898.968,"new CTOI, Montalto (2022)"
5364106,5364106.01,nan,2459259.215,PHT candidate. Single transit event.
5364106,5364106.02,nan,2459256.435,PHT single transit.
5642884,5642884.01,4.261,2458788.541,"new CTOI, Montalto (2022)"
5696824,5696824.01,1.755,2458491.766,DTARPS 008 in Melton+  arXiv:2302.06724
5966772,5966772.01,nan,2459331.1,PHT candidate. Possible additional transit event in the FFIs at ~ 1587.95 TBJD.
6242388,6242388.01,nan,2459484.972,Found with our in-house single transit finder; Sector 43
6426639,6426639.01,1.58,2458492.29,All data ontained using the LightKurve framework
6515171,6515171.01,5.48,2458493.44,All Data obtained using the Light Kurve framework
6517467,6517467.01,1.33,2458491.71,All data obtained using the Light Kurve Framework
7145074,7145074.01,nan,2459111.52,WINE single transit
7559164,7559164.01,2.734,2458489.838,"new CTOI, Montalto (2022)"
7688647,7688647.01,1.936,2458439.189,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
7984988,7984988.01,nan,2459275.052,Found with our in-house single transit finder
