TIC ID,CTOI,Transit Epoch (BJD),Period (days),Planet Radius (R_Earth),Duration (hours),Depth (mmag),CTOI Category
17361,17361.01,2458596.96,3.607,13.46,0.089,10.951,Promoted to TOI
1449756,1449756.01,2458414.854,23.299,12.17,0.266,2.275,Promoted to TOI
1525480,1525480.01,2458543.36,5.51,8.75,0.136,8.693,Promoted to TOI
2760219,2760219.01,2458353.132,4.663,13.14,0.094,5.89,Promoted to TOI
3224605,3224605.01,2459483.011,28.645,8.648,4.285,8.735,Promoted to TOI
4843495,4843495.01,2458875.55,nan,2.5,8.0,0.47,Promoted to TOI
4918918,4918918.01,2459612.886,3.89,3.45,4.8,6.125,Promoted to TOI
7422496,7422496.01,2458470.354,0.0,2.4,5.9,0.76,Promoted to TOI
7548817,7548817.01,2458687.086,4.521,15.935,4.597,9.667,Promoted to TOI
9443323,9443323.01,2458818.027,4.013,15.51,3.923,8.348,Promoted to TOI
9907513,9907513.01,2458843.636,1.274,2.733,1.055,1.266,Promoted to TOI
9989136,9989136.01,2458848.682,6.188,1.996,2.777,0.85,Promoted to TOI
11521555,11521555.01,2458515.692,5.867,17.91,0.17,2.787,Promoted to TOI
13737885,13737885.01,2458516.858,4.466,14.86,0.22,4.432,Promoted to TOI
17932757,17932757.01,2458903.546,nan,2.7,4.3,1.521,Promoted to TOI
19342878,19342878.01,2459963.43,1.333,15.32,2.5,21.093,Promoted to TOI
20299658,20299658.01,2458455.736,31.989,nan,nan,nan,Promoted to TOI
20318757,20318757.03,2458549.224,5.009,nan,1.12,1.111,Promoted to TOI
20579360,20579360.01,2458575.42,8.357,nan,nan,nan,Promoted to TOI
21279791,21279791.01,2458685.697,3.018,9.844,3.232,7.899,Promoted to TOI
24358417,24358417.01,2458436.092,22.659,9.02,0.156,11.298,Promoted to TOI
24695044,24695044.01,2458323.164,4.165,8.05,0.092,8.537,Promoted to TOI
26547036,26547036.01,2458712.3,0.0,11.0,8.5,10.912,Promoted to TOI
27064468,27064468.01,2459528.775,5.461,4.9,3.8,1.456,Promoted to TOI
27318774,27318774.01,2458686.674,3.245,nan,8.117,26.608,Promoted to TOI
27774415,27774415.01,2458686.309,4.941,nan,4.045,9.164,Promoted to TOI
27916356,27916356.01,2458684.086,3.236,nan,5.608,8.967,Promoted to TOI
27990610,27990610.01,2458685.154,2.815,nan,2.031,3.28,Promoted to TOI
29106627,29106627.01,2459580.834,9.525,2.6,2.8,1.075,Promoted to TOI
29169215,29169215.01,2458872.505,nan,nan,3.5,1.76,Promoted to TOI
29959761,29959761.01,2458412.056,1.647,5.79,0.049,5.544,Promoted to TOI
30947715,30947715.01,2458438.153,3.66,3.74,0.14,0.944,Promoted to TOI
31656385,31656385.01,2458320.145,22.827,16.14,0.293,10.327,Promoted to TOI
32296259,32296259.01,2458490.123,2.778,5.085,0.09,6.416,Promoted to TOI
32677675,32677675.01,2458469.366,3.637,17.715,3.9,19.154,Promoted to TOI
32925763,32925763.01,2458468.175,1.681,6.24,0.058,3.023,Promoted to TOI
35022727,35022727.01,2458793.14,3.652,4.829,2.851,2.428,Promoted to TOI
35636165,35636165.01,2458470.308,3.459,15.888,2.854,6.859,Promoted to TOI
37117064,37117064.01,2458483.1,nan,nan,nan,12.009,Promoted to TOI
37862966,37862966.01,2458439.935,3.584,8.462,3.19,5.604,Promoted to TOI
38399060,38399060.01,2458411.722,3.652,13.056,3.557,22.117,Promoted to TOI
38965512,38965512.01,2458327.556,2.269,12.764,3.04,12.829,Promoted to TOI
39218269,39218269.01,2458451.581,17.171,14.53,0.178,3.912,Promoted to TOI
39414571,39414571.01,2458467.311,4.02,8.7,0.116,9.681,Promoted to TOI
39724477,39724477.01,2458469.452,4.035,13.142,2.374,26.873,Promoted to TOI
43475220,43475220.01,2458440.064,18.52,3.868,3.518,1.465,Promoted to TOI
45896295,45896295.01,2458520.296,3.005,13.669,3.353,8.329,Promoted to TOI
47601197,47601197.01,2458467.961,8.626,8.26,0.124,4.559,Promoted to TOI
47601197,47601197.02,2458465.728,4.88,3.42,0.111,0.979,Promoted to TOI
48018596,48018596.01,2458713.46,0.0,5.0,4.8,1.63,Promoted to TOI
48217457,48217457.01,2458686.225,3.127,nan,2.518,4.218,Promoted to TOI
49043968,49043968.01,2458562.457,12.492,nan,nan,nan,Promoted to TOI
